# 915 nm PL_38 Chip Heater Calibration Heater 11
# Chip Num PL 38 Down Structure
# Heater No = 11
# Current from = 0
# Current step = 10
# Current to   = 1300
# sleeptime (ms) = 900
# Input mode= 2
# Temp Room_ = 21.7
# Temp Chip_ = 19
# Date 2024-11-29 16:38:33
#Current  diode_1  diode_2  diode_3  diode_4 
       0     4.60    18.23    35.41     5.70 
      10     4.61    18.24    35.42     5.65 
      20     4.58    18.43    35.36     5.60 
      30     4.56    18.54    35.25     5.61 
      40     4.53    18.68    34.99     5.67 
      50     4.49    18.82    34.96     5.74 
      60     4.44    18.97    34.75     5.77 
      70     4.38    19.17    34.43     5.82 
      80     4.31    19.34    34.25     5.95 
      90     4.22    19.56    33.92     6.05 
     100     4.14    19.87    33.63     6.16 
     110     4.04    20.13    33.42     6.29 
     120     3.94    20.44    32.95     6.39 
     130     3.83    20.84    32.59     6.51 
     140     3.72    21.23    32.09     6.67 
     150     3.59    21.46    31.78     6.87 
     160     3.44    21.92    31.29     7.03 
     170     3.29    22.25    30.85     7.26 
     180     3.12    22.63    30.59     7.67 
     190     2.97    22.99    30.13     8.06 
     200     2.80    23.53    29.55     8.32 
     210     2.63    23.86    28.88     8.55 
     220     2.45    24.45    28.37     8.84 
     230     2.27    24.91    27.61     9.12 
     240     2.10    25.41    26.86     9.38 
     250     1.92    25.94    26.26     9.68 
     260     1.76    26.35    25.57     9.91 
     270     1.59    26.94    24.85    10.20 
     280     1.43    27.55    23.99    10.47 
     290     1.27    27.99    23.16    10.77 
     300     1.12    28.49    22.41    11.11 
     310     0.97    29.00    21.59    11.43 
     320     0.84    29.59    20.69    11.47 
     330     0.73    29.94    19.87    11.85 
     340     0.63    30.48    19.03    12.25 
     350     0.56    31.06    18.34    12.93 
     360     0.51    31.53    17.54    13.31 
     370     0.48    31.94    16.71    13.64 
     380     0.48    32.33    15.85    13.97 
     390     0.51    32.60    15.06    14.30 
     400     0.57    32.97    14.26    14.69 
     410     0.67    33.25    13.51    15.09 
